peak_number,pixel_x,pixel_y,time_ms,voltage_mv,prominence
1,13,358.6,-4.933469805527124,162.1495327102803,55.42227680973946
2,149,362.5,-4.237461617195496,153.0373831775701,103.40103393873528
3,289,407.0,-3.5209825997952917,49.0654205607477,35.12263189458935
4,562,87.5,-2.1238485158648923,795.5607476635513,200.15554848113953
5,699,176.0,-1.422722620266121,588.7850467289719,65.81880919096594
6,832,201.5,-0.7420675537359259,529.2056074766356,24.951818008482462
7,970,56.5,-0.035823950870010265,867.9906542056075,493.0326915251614
8,1123,362.5,0.7471852610030707,153.0373831775701,103.6320518737121
9,1263,407.0,1.4636642784032752,49.0654205607477,34.943406479374744
10,1535,87.5,2.855680655066531,795.5607476635513,361.5820440118301
11,1672,176.0,3.5568065506653035,588.7850467289719,111.66503799977048
12,1805,201.5,4.237461617195496,529.2056074766356,40.401205901925664
13,1870,227.5,4.570112589559877,468.4579439252337,140.3821661324929
14,1932,317.75,4.887410440122824,257.59345794392516,23.19467587436077
