# 示波器波形数据
# 原始文件: normal_2025_10_15_11_39_04.dat
# 通道 1: 采样率=8000000.0 Hz, 单位=V
Time(s),CH1(V)
0.000000000e+00,1.050000e-01
1.250000000e-07,-3.582000e-01
2.500000000e-07,-3.072000e-01
3.750000000e-07,-4.094000e-01
5.000000000e-07,-4.096000e-01
6.250000000e-07,-4.094000e-01
7.500000000e-07,-4.096000e-01
8.750000000e-07,-1.748000e-01
1.000000000e-06,-4.096000e-01
1.125000000e-06,4.611400e+00
1.250000000e-06,8.570000e+00
1.375000000e-06,5.294000e+00
1.500000000e-06,1.094100e+01
1.625000000e-06,4.502600e+00
1.750000000e-06,1.170180e+01
1.875000000e-06,1.015300e+01
2.000000000e-06,6.083600e+00
2.125000000e-06,-4.072000e-01
2.250000000e-06,-4.096000e-01
2.375000000e-06,-4.096000e-01
2.500000000e-06,-4.096000e-01
2.625000000e-06,-4.096000e-01
2.750000000e-06,-4.096000e-01
2.875000000e-06,-4.096000e-01
3.000000000e-06,-4.096000e-01
3.125000000e-06,-4.096000e-01
3.250000000e-06,-4.096000e-01
3.375000000e-06,-4.096000e-01
3.500000000e-06,-4.096000e-01
3.625000000e-06,-4.096000e-01
3.750000000e-06,-4.096000e-01
3.875000000e-06,-4.096000e-01
4.000000000e-06,-4.096000e-01
4.125000000e-06,-4.096000e-01
4.250000000e-06,-4.096000e-01
4.375000000e-06,-4.096000e-01
4.500000000e-06,-4.096000e-01
4.625000000e-06,-4.096000e-01
4.750000000e-06,-4.096000e-01
4.875000000e-06,-4.096000e-01
5.000000000e-06,-4.096000e-01
5.125000000e-06,-4.096000e-01
5.250000000e-06,-4.096000e-01
5.375000000e-06,-4.096000e-01
5.500000000e-06,-4.096000e-01
5.625000000e-06,-4.096000e-01
5.750000000e-06,-4.096000e-01
5.875000000e-06,-4.096000e-01
6.000000000e-06,-4.096000e-01
6.125000000e-06,2.100000e+00
6.250000000e-06,1.090720e+01
6.375000000e-06,1.152180e+01
6.500000000e-06,1.152180e+01
6.625000000e-06,-3.830000e-01
6.750000000e-06,7.214200e+00
6.875000000e-06,1.167360e+01
7.000000000e-06,-1.022000e-01
7.125000000e-06,9.800000e-02
7.250000000e-06,9.780000e-02
7.375000000e-06,9.800000e-02
7.500000000e-06,9.800000e-02
7.625000000e-06,6.498200e+00
7.750000000e-06,1.167360e+01
7.875000000e-06,4.763400e+00
8.000000000e-06,1.162240e+01
8.125000000e-06,6.222000e-01
8.250000000e-06,1.024000e-01
8.375000000e-06,9.880000e-02
8.500000000e-06,9.860000e-02
8.625000000e-06,9.880000e-02
8.750000000e-06,9.900000e-02
8.875000000e-06,9.880000e-02
9.000000000e-06,9.880000e-02
9.125000000e-06,6.499200e+00
9.250000000e-06,1.182740e+01
9.375000000e-06,1.640200e+00
9.500000000e-06,-4.086000e-01
9.625000000e-06,6.908800e+00
9.750000000e-06,1.187860e+01
9.875000000e-06,4.712200e+00
1.000000000e-05,8.806400e+00
1.012500000e-05,4.813600e+00
1.025000000e-05,1.182740e+01
1.037500000e-05,5.941000e+00
1.050000000e-05,9.216400e+00
1.062500000e-05,5.529800e+00
1.075000000e-05,1.182720e+01
1.087500000e-05,1.187880e+01
1.100000000e-05,1.193140e+01
1.112500000e-05,-1.096000e-01
1.125000000e-05,-1.848000e-01
1.137500000e-05,-1.832000e-01
1.150000000e-05,-2.360000e-01
1.162500000e-05,-3.848000e-01
1.175000000e-05,-3.336000e-01
1.187500000e-05,1.256000e-01
1.200000000e-05,1.177640e+01
1.212500000e-05,1.193140e+01
1.225000000e-05,1.193140e+01
1.237500000e-05,-2.140000e-02
1.250000000e-05,1.635000e+00
1.262500000e-05,-4.040000e-01
1.275000000e-05,-2.824000e-01
1.287500000e-05,-3.120000e-02
1.300000000e-05,-2.360000e-01
1.312500000e-05,-2.344000e-01
1.325000000e-05,-3.368000e-01
1.337500000e-05,-1.288000e-01
1.350000000e-05,-1.680000e-02
1.362500000e-05,-2.400000e-03
1.375000000e-05,-3.720000e-01
1.387500000e-05,-2.822000e-01
1.400000000e-05,7.215200e+00
1.412500000e-05,1.126740e+01
1.425000000e-05,8.450600e+00
1.437500000e-05,1.172920e+01
1.450000000e-05,3.390000e-01
1.462500000e-05,9.880000e-02
1.475000000e-05,7.624800e+00
1.487500000e-05,5.534400e+00
1.500000000e-05,4.711200e+00
1.512500000e-05,4.715600e+00
1.525000000e-05,8.399000e+00
1.537500000e-05,5.529600e+00
1.550000000e-05,4.711200e+00
1.562500000e-05,1.746400e+00
1.575000000e-05,-4.072000e-01
1.587500000e-05,1.182740e+01
1.600000000e-05,1.172660e+01
1.612500000e-05,1.249460e+01
1.625000000e-05,1.742000e+00
1.637500000e-05,-3.912000e-01
1.650000000e-05,1.304800e+00
1.662500000e-05,-2.358000e-01
1.675000000e-05,6.805800e+00
1.687500000e-05,5.588000e+00
1.700000000e-05,1.168100e+01
1.712500000e-05,-1.272000e-01
1.725000000e-05,-2.600000e-01
1.737500000e-05,-2.820000e-01
1.750000000e-05,9.820000e-02
1.762500000e-05,-3.864000e-01
1.775000000e-05,-2.344000e-01
1.787500000e-05,-3.720000e-01
1.800000000e-05,-3.864000e-01
1.812500000e-05,1.788000e+00
1.825000000e-05,-1.800000e-01
1.837500000e-05,-2.360000e-01
1.850000000e-05,-1.832000e-01
1.862500000e-05,1.851200e+00
1.875000000e-05,8.806400e+00
1.887500000e-05,5.539000e+00
1.900000000e-05,9.225600e+00
1.912500000e-05,5.539400e+00
1.925000000e-05,1.209340e+01
1.937500000e-05,5.120200e+00
1.950000000e-05,5.120200e+00
1.962500000e-05,-3.072000e-01
1.975000000e-05,9.740000e-02
1.987500000e-05,9.760000e-02
2.000000000e-05,6.805000e+00
2.012500000e-05,5.529600e+00
2.025000000e-05,8.397000e+00
2.037500000e-05,4.710400e+00
2.050000000e-05,8.407800e+00
2.062500000e-05,-2.556000e-01
2.075000000e-05,9.760000e-02
2.087500000e-05,9.760000e-02
2.100000000e-05,9.740000e-02
2.112500000e-05,-1.832000e-01
2.125000000e-05,-3.384000e-01
2.137500000e-05,-1.208000e-01
2.150000000e-05,-3.096000e-01
2.162500000e-05,-2.696000e-01
2.175000000e-05,1.141780e+01
2.187500000e-05,1.136820e+01
2.200000000e-05,8.398600e+00
2.212500000e-05,7.987200e+00
2.225000000e-05,5.530600e+00
2.237500000e-05,4.864200e+00
2.250000000e-05,1.136700e+01
2.262500000e-05,1.147060e+01
2.275000000e-05,-2.166000e-01
2.287500000e-05,1.735600e+00
2.300000000e-05,-4.034000e-01
2.312500000e-05,9.760000e-02
2.325000000e-05,1.633000e+00
2.337500000e-05,-3.992000e-01
2.350000000e-05,-3.382000e-01
2.362500000e-05,1.633200e+00
2.375000000e-05,-3.976000e-01
2.387500000e-05,2.160000e-02
2.400000000e-05,-1.336000e-01
2.412500000e-05,-2.744000e-01
2.425000000e-05,-3.380000e-01
2.437500000e-05,9.700000e-02
2.450000000e-05,-3.768000e-01
2.462500000e-05,-2.866000e-01
2.475000000e-05,9.680000e-02
2.487500000e-05,7.213600e+00
2.500000000e-05,-2.046000e-01
2.512500000e-05,-1.622000e-01
2.525000000e-05,-1.000000e-01
2.537500000e-05,-1.002000e-01
2.550000000e-05,9.628000e+00
2.562500000e-05,-1.536000e-01
2.575000000e-05,-1.006000e-01
2.587500000e-05,-1.006000e-01
2.600000000e-05,-1.004000e-01
2.612500000e-05,-1.002000e-01
2.625000000e-05,-3.848000e-01
2.637500000e-05,-3.384000e-01
2.650000000e-05,-3.844000e-01
2.662500000e-05,-1.010000e-01
2.675000000e-05,-3.896000e-01
2.687500000e-05,2.000000e-04
2.700000000e-05,1.200000e-03
2.712500000e-05,1.639600e+00
2.725000000e-05,-4.092000e-01
2.737500000e-05,-1.014000e-01
2.750000000e-05,-3.762000e-01
2.762500000e-05,-1.016000e-01
2.775000000e-05,6.349600e+00
2.787500000e-05,-2.558000e-01
2.800000000e-05,-1.016000e-01
2.812500000e-05,-1.018000e-01
2.825000000e-05,-1.014000e-01
2.837500000e-05,-3.352000e-01
2.850000000e-05,-3.384000e-01
2.862500000e-05,-3.880000e-01
2.875000000e-05,-3.330000e-01
2.887500000e-05,-1.020000e-01
2.900000000e-05,6.759000e+00
2.912500000e-05,-2.044000e-01
2.925000000e-05,-1.024000e-01
2.937500000e-05,-1.020000e-01
2.950000000e-05,-1.020000e-01
2.962500000e-05,6.759200e+00
2.975000000e-05,-3.072000e-01
2.987500000e-05,-1.018000e-01
3.000000000e-05,-1.022000e-01
3.012500000e-05,6.349400e+00
3.025000000e-05,-3.072000e-01
3.037500000e-05,-1.020000e-01
3.050000000e-05,-1.022000e-01
3.062500000e-05,6.349000e+00
3.075000000e-05,1.639000e+00
3.087500000e-05,-3.974000e-01
3.100000000e-05,1.085500e+01
3.112500000e-05,8.806600e+00
3.125000000e-05,1.639400e+00
3.137500000e-05,-3.768000e-01
3.150000000e-05,-1.848000e-01
3.162500000e-05,7.440000e-02
3.175000000e-05,2.480000e-02
3.187500000e-05,-3.880000e-01
3.200000000e-05,-3.336000e-01
3.212500000e-05,7.600000e-02
3.225000000e-05,-3.368000e-01
3.237500000e-05,-2.696000e-01
3.250000000e-05,3.800000e-01
3.262500000e-05,-7.920000e-02
3.275000000e-05,3.400000e-01
3.287500000e-05,-2.312000e-01
3.300000000e-05,-3.880000e-01
3.312500000e-05,-2.344000e-01
3.325000000e-05,3.272000e-01
3.337500000e-05,5.848000e-01
3.350000000e-05,-3.336000e-01
3.362500000e-05,-1.560000e-01
3.375000000e-05,-3.848000e-01
3.387500000e-05,6.504000e-01
3.400000000e-05,7.928000e-01
